,Rating,Title,Review,Review_Date
0,4,"4.0 out of 5 stars
Awesome",I liked this gen very much. The only disadvantage i found was that the alexa this was way more dumb than the last gen and couldnt understand simple commands.,30-Aug-23
1,3,"3.0 out of 5 stars
Very Very Average. Very disappointed. Underperformance.","This latest version of Echo Dot may be a better version than previous ones, but I am thorough disappointed with  Alexa Echo Dot. Many times it does not understand the command, many times it simply says Sorry I don't understand, many times while music is on it is unable to catch the voice hence you have to shout to activate the volume sensors for a different command. Majority of the music is picked up only from Amazon, no generic search for the song, you give a song name and artist name, many times it says that it's unable to find the song.I just had a quick glimpse of ChatGPT. The level of AI used is immaculate...it actually mind boggling.I bought ALEXA recently with a perception that ALEXA may have similar level of inbuilt AI, but let's say, ALEXA is far far away from being closest to AI.In first few minutes, I got to know and I declared it as a complete DUMBO.I repent. May be I was overexpecting. ALEXA may have good features for home automation, etc, however if you really want to use it majorly for your music needs, I would suggest you better drop the idea of going for ALEXA.I wonder how a person like Rajiv Makhni gives a complete Thumbs Up for this product and unlike earlier times, provides biased reviews without naming the device drawbacksHope above details help some friends to make the right decision.",15-Aug-23
2,4,"4.0 out of 5 stars
i was not be able to reset it to my new location.customer help is poor",it could  not be possible to reset it at my new locatioon. the customer help is poor.,21-Aug-23
3,4,"4.0 out of 5 stars
Hangs a lot",Nothing great then previous ones .,25-Aug-23
4,4,"4.0 out of 5 stars
Awesome",AwesomeBut some time can not listenOver all good,14-Aug-23
5,4,"4.0 out of 5 stars
I am happy with this product",Freedom sale I brought this with light. Working very 👍,14-Aug-23
6,4,"4.0 out of 5 stars
Good product.",Good product. Stayed upto the expectations. Could have been atleast 1000 on the lower side of price.,02-Aug-23
7,4,"4.0 out of 5 stars
good",good,08-Aug-23
8,4,"4.0 out of 5 stars
Great eco system nice",Very good connectivity with iPhone and android both sound quality build quality macho,31-Jul-23
9,5,"5.0 out of 5 stars
Amazing sounds",The sound is so amazing that you are lost in your ears and not just that you can feel through your skin and your whole body when the music is playing and it feels like all the sounds are rotating in the room maybe because of its spherical shape...Just loved it,30-Aug-23
10,3,"3.0 out of 5 stars
It's a great product I like it",I like everything of this product i use it for my study or use it for listening songs,16-Aug-23
11,4,"4.0 out of 5 stars
Alexa 5th generation",Best,12-Jul-23
12,4,"4.0 out of 5 stars
GOOD PRODUCT",USEFUL PRODUCT,12-Jul-23
13,3,"3.0 out of 5 stars
Feedback",Thik thak hai,19-Aug-23
14,3,"3.0 out of 5 stars
Not upto the mark","No batteries always needs to be plugged in to power outlet. Speaker quality is not that good. Although it is responsive when it is called bot but it sometimes lacks the ability to proceed information. There built in motion detection was not working in the piece that i got and is calling out the temperate that the weather forecast is showing, though the builtin temperature sensor for calibrated still it is telling the data provided by the weather stations.",04-Jul-23
15,3,"3.0 out of 5 stars
Sensing language",Echo dot more sense only Hindi poor sense other languages like Tamil etc,15-Aug-23
16,4,"4.0 out of 5 stars
Good","does everything nicely, just sometimes doesn't hear me.I expected it to have the new dotted display but this variant didn't have it.motion detection works fine but if you stay in bed scrolling on social media, it just doesn't detect me anymore.",06-Jun-23
17,4,"4.0 out of 5 stars
Good product",Good one but sometimes it won't understand what we want exactly,24-Jun-23
18,3,"3.0 out of 5 stars
Doesn't respond most of the time","Good product, but doesn't respond most of the time have to shout alexa, even with tv, fans off",02-Aug-23
19,5,"5.0 out of 5 stars
Amazing alexa",Now it is our member of family.Best in all respects.,23-Aug-23
20,4,"4.0 out of 5 stars
Intial connection to mobile hotspot was frustrating",ProsSound qualityRapid connection (after the first time)ConsConnecting the alexa initially to mobile hotspot was very frustrating and tiresome.,08-Jun-23
21,4,"4.0 out of 5 stars
Quality is good",Good,22-Jun-23
22,5,"5.0 out of 5 stars
Echo Dot 5th Gen is Awesome","I bought this Echo Dot 5th Gen for my daughter as a birthday gift. She was extremely surprised and very happy. Connecting to Device is very easy and fast. When connect through Alexa app there are many options to try and enjoy the moments. This echo Dot 5th gen delivers brillant crisp and appropriate bass for any type of song witg Loud and clear sound. It comes with motion detection and Temperature sensor which works very well. We use it for everyday activities as a reminders, orders, breaking news, jokes, songs, podcast etc... I would recommend this small cute Echo Dot 5th Gen for all ages. It is the first Robot in my house and everyone is so happy and excited 👏👏👌👍",22-Jul-23
23,3,"3.0 out of 5 stars
Avg Sound Quality",Sound quality could have been better.,30-Jul-23
24,4,"4.0 out of 5 stars
Nice",Good quality speaker...,20-Jun-23
25,4,"4.0 out of 5 stars
Easy to install",It's bass quality isn't as good. There are problems with connecting/linking to Spotify which keeps getting tripped immediately after connecting,06-Jul-23
26,4,"4.0 out of 5 stars
Cute yet very 🤓 smart",Loved it's functionality and user experience in the alexa app. My daughter enjoys cocomelon songs on a loop. Keeps me updated with my reminders and shopping lists. Such a handy help around the house! Enables IOT and home automation like it's a piece of 🍰.,22-May-23
27,3,"3.0 out of 5 stars
A battery is needed",Why Alexa is not provided a backup. Just a battery backup is needed otherwise it's fine,18-Jul-23
28,5,"5.0 out of 5 stars
Nice",Axa hai par mujhe lga rechargeable hoga 🥲,12-Aug-23
29,5,"5.0 out of 5 stars
The best echo dot",It is very good with a strong bass,14-Aug-23
